parameter,mu_star,sigma,mu_star_conf,organism,output
Phi,0.0007617126562499992,0.0001705354848749699,1.692846148300929e-05,ecoli,g_star
V_resp,0.0007575323437499993,0.00017439747964248455,1.5035914558325632e-05,ecoli,g_star
gamma_resp,0.0,0.0,0.0,ecoli,g_star
gamma_glyc,0.0,0.0,0.0,ecoli,g_star
V_glyc,0.0,0.0,0.0,ecoli,g_star
Phi,0.0010164140624999967,0.00022755912424446452,1.7618847132937867e-05,yeast,g_star
V_resp,0.0010108359374999965,0.00023271249245857478,2.2274436751447908e-05,yeast,g_star
gamma_resp,0.0,0.0,0.0,yeast,g_star
gamma_glyc,0.0,0.0,0.0,yeast,g_star
V_glyc,0.0,0.0,0.0,yeast,g_star
Phi,0.0004304812499999996,9.637798203294993e-05,8.020910185824292e-06,mammalian,g_star
V_resp,0.0004281187499999999,9.856058504127845e-05,7.851747263021479e-06,mammalian,g_star
gamma_resp,0.0,0.0,0.0,mammalian,g_star
gamma_glyc,0.0,0.0,0.0,mammalian,g_star
V_glyc,0.0,0.0,0.0,mammalian,g_star
